id,dancebility,energy,key,loudnes,mode,speech,acoustic,instrument,livenss,valance,tempo,duration,time_signature
1vYXt7VSjH9JIM5oRRo7vA,0.671,0.845,11,-4.93,0,0.048,0.0207,0.0,0.329,0.775,110.056,176579,4
2ekn2ttSfGqwhhate0LSR0,0.762,0.7,9,-6.021,0,0.0694,0.00261,1.56e-05,0.153,0.608,116.073,209320,4
2FlcxnvybdwpaMmMhaRtSN,0.793,0.793,11,-4.521,0,0.083,0.0123,0.0,0.0951,0.679,123.95,183290,4
0v2boHmWtxMTD2REGN8MbK,0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,203064,4
6zSpb8dQRaw0M1dK8PBwQz,0.796,0.798,1,-6.312,1,0.0317,0.034,4.19e-05,0.0952,0.942,116.032,202735,4
5eTNdkstwKaNahHf41fJ9u,0.532,0.868,3,-4.23,0,0.0908,0.011,0.0,0.0584,0.529,110.127,187958,4
5UncbfPKpWlxsWWyhmM87l,0.647,0.844,0,-3.756,1,0.0457,0.0137,0.000658,0.102,0.746,146.967,193829,4
5CSKbHjpqborGnlzagyaDo,0.659,0.667,11,-4.668,0,0.0339,0.00173,2.85e-05,0.1,0.468,115.982,258004,4
76cy1WJvNGJTj78UqeA5zr,0.836,0.544,7,-5.975,1,0.0943,0.0403,0.0,0.0824,0.51,97.028,217947,4
7ef4DlsgrMEH11cDZd32M6,0.791,0.862,9,-3.24,0,0.11,0.037,2.19e-05,0.0814,0.592,123.994,214847,4
4PULMUg3AwudcRCzvVmgXT,0.73,0.729,4,-3.434,0,0.0884,0.167,1.39e-06,0.349,0.467,113.011,221820,4
6pbKWWP8WwTaP5TbSq1vCA,0.627,0.69,10,-5.396,0,0.139,0.033,0.0,0.0742,0.627,122.053,208505,4
1diS6nkxMQc3wwC4G1j0bh,0.722,0.588,6,-5.932,1,0.0544,0.0319,0.0,0.183,0.59,134.01,165507,4
7fYRg3CEbk6rNCuzNzMT06,0.824,0.697,11,-4.869,0,0.0473,0.158,4.11e-05,0.077,0.757,99.988,214460,4
7kJlTKjNZVT26iwiDUVhRm,0.654,0.796,2,-4.761,0,0.122,0.0188,0.0,0.0948,0.491,108.854,178583,4
1V4uMdCH6aDZire0vVqnXW,0.769,0.659,3,-3.899,0,0.0442,0.0109,0.0,0.0709,0.586,127.992,169338,4
5N4erncE7kuUccm7zEmwzk,0.588,0.67,0,-6.439,1,0.0473,0.0104,3.33e-06,0.338,0.505,118.159,238173,4
7mFj0LlWtEJaEigguaWqYh,0.814,0.628,7,-7.178,1,0.221,0.167,0.0,0.101,0.677,123.977,201334,4
2ygfHXyt3gvyhvKrNJU61n,0.532,0.977,10,-2.761,0,0.0353,0.0208,0.0,0.151,0.966,116.527,224549,4
1ixphys4A3NEXp6MDScfih,0.661,0.651,7,-3.771,0,0.0499,0.117,1.32e-05,0.056,0.368,87.46,202915,4
5tFAwDNw4K6KYKCWtta7pe,0.868,0.693,6,-7.052,0,0.181,0.0597,0.00399,0.106,0.396,114.999,156911,4
7jr3iPu4O4bTCVwLMbdU2i,0.678,0.729,8,-4.188,1,0.137,0.0658,0.0,0.303,0.643,99.895,189173,4
0pk1hxhJLBSZZ5RKBhcwOa,0.808,0.655,11,-7.34,0,0.139,0.0373,0.0,0.208,0.56,116.029,250280,4
6boViHmG6c8ubzxTvcMoJY,0.906,0.474,1,-6.124,1,0.194,0.0311,5.5e-06,0.286,0.656,106.976,194607,4
3iYNJX4FTRGlfMQySjlGNr,0.875,0.813,7,-4.502,1,0.0579,0.00618,0.0,0.321,0.859,114.993,184882,4
2GPCE96x9Go6acdDt8ex6p,0.572,0.634,6,-10.599,0,0.0617,0.00547,0.0,0.129,0.432,168.136,231815,4
1v3bR4v6SruaE8efrTUqqp,0.646,0.772,2,-3.826,1,0.0564,0.000402,0.0,0.102,0.414,117.097,203769,4
4Ulqu89XempybuL8ApUeqL,0.469,0.785,5,-4.015,0,0.0664,0.133,1.55e-06,0.0931,0.79,89.719,209583,4
48QmG1dfvMuYLxMPt7KSRA,0.742,0.882,7,-2.862,1,0.117,0.0466,0.0,0.206,0.463,102.04,221176,4
3pyodt4pb554dMz8fCv7oi,0.68,0.701,5,-5.001,1,0.0917,0.138,0.000191,0.168,0.649,94.06,218754,4
1IdDtg7GhWfHYEWDymq3d2,0.809,0.623,5,-6.254,1,0.145,0.0185,8.77e-05,0.0538,0.57,114.986,195352,4
4szI7zRh7kLApCSqiB6R7b,0.768,0.486,3,-5.954,1,0.0353,0.408,0.0,0.098,0.519,125.021,166266,4
3ebXMykcMXOcLeJ9xZ17XH,0.584,0.54,1,-7.786,0,0.0576,0.0895,0.0,0.261,0.195,137.972,220883,4
1LPGXjVWl8EnrnyaOgPpBm,0.683,0.794,8,-4.558,1,0.0533,0.024,0.0,0.302,0.327,105.941,194107,4
4P76CEIXrrWT2cgS1YrTMr,0.715,0.572,7,-6.853,1,0.0745,0.0244,0.0,0.26,0.429,113.02,205720,4
0mDGNetRxywxqgiXFbagZh,0.678,0.714,0,-4.924,1,0.0408,0.00795,0.0,0.0827,0.307,109.021,216080,4
1oXHXIB8rHgwHSsPRNjEzn,0.589,0.578,8,-5.626,0,0.0454,0.0232,0.0,0.0984,0.38,135.77,228976,4
5600nq7TiBraBX2jobyJ3l,0.588,0.821,5,-6.54,0,0.216,0.00579,0.000275,0.208,0.509,188.098,182075,4
5fK0Q3j2iUcQtiRDXlPW0K,0.572,0.691,8,-4.783,0,0.123,0.0788,0.000132,0.0619,0.318,92.082,211818,4
3dD9yyYTQ73SZvyOygyKva,0.708,0.552,10,-5.552,0,0.21,0.0922,0.0,0.0541,0.686,147.834,196707,4
7wIYDzWW82O6Rc4vGuzjND,0.455,0.265,5,-8.468,1,0.0491,0.861,0.0,0.685,0.324,176.036,195840,4
5E5MqaS6eOsbaJibl3YeMZ,0.426,0.224,6,-8.683,1,0.0391,0.948,0.0,0.112,0.399,85.728,230480,5
4Wmjt3ICd1G0geHb2Loho1,0.802,0.481,4,-5.132,0,0.043,0.0856,0.0,0.152,0.468,90.973,171947,4
4VZXB1paIf867OlmQg89GU,0.579,0.621,1,-8.625,1,0.0445,0.152,4.01e-06,0.0869,0.343,90.354,271935,4
7rfiXyFb5M9BqdkvKvVEiB,0.728,0.811,7,-4.278,1,0.0564,0.0453,2.07e-06,0.362,0.705,114.995,228707,4
4FuZofNMHdtsEdrsqwF3xR,0.64,0.665,11,-4.966,0,0.0325,0.0045,0.0,0.22,0.42,113.213,200108,4
4U1TYTYFoFXfhTEGwLlTH1,0.536,0.488,9,-5.752,1,0.0354,0.396,1.44e-05,0.133,0.382,75.761,208689,4
5nMkd5cq4JPZqAoQTXv8Wm,0.567,0.347,9,-5.533,1,0.0343,0.682,1.32e-06,0.0873,0.348,114.056,156482,4
