TrackID,TrackName,AlbumName,ArtistName,ReleaseDate,Duration(ms),PopularityIndex,URL
1L0OmJV0LnPDWuHCIGmBV6,On The Radar Freestyle,On The Radar Freestyle,"Drake, Central Cee",2023-07-26,275280,84,https://open.spotify.com/track/1L0OmJV0LnPDWuHCIGmBV6
67nepsnrcZkowTxMWigSbb,MELTDOWN (feat. Drake),UTOPIA,"Travis Scott, Drake",2023-07-28,246133,94,https://open.spotify.com/track/67nepsnrcZkowTxMWigSbb
7aRCf5cLOFN1U7kvtChY1G,Search & Rescue,Search & Rescue,Drake,2023-04-07,272112,87,https://open.spotify.com/track/7aRCf5cLOFN1U7kvtChY1G
3F5CgOj3wFlRv51JsHbxhe,Jimmy Cooks (feat. 21 Savage),"Honestly, Nevermind","Drake, 21 Savage",2022-06-17,218364,89,https://open.spotify.com/track/3F5CgOj3wFlRv51JsHbxhe
40iJIUlhi6renaREYGeIDS,Fair Trade (with Travis Scott),Certified Lover Boy,"Drake, Travis Scott",2021-09-03,291175,86,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
1bDbXMyjaUIooNwFE9wn0N,Rich Flex,Her Loss,"Drake, 21 Savage",2022-11-04,239359,88,https://open.spotify.com/track/1bDbXMyjaUIooNwFE9wn0N
40EXFgNMOIQRQOwJZ8mJkC,Who Told You (feat. Drake),Who Told You (feat. Drake),"J Hus, Drake",2023-06-08,208917,82,https://open.spotify.com/track/40EXFgNMOIQRQOwJZ8mJkC
34tz0eDhGuFErIuW3q4mPX,On BS,Her Loss,"Drake, 21 Savage",2022-11-04,261543,80,https://open.spotify.com/track/34tz0eDhGuFErIuW3q4mPX
59nOXPmaKlBfGMDeOVGrIK,WAIT FOR U (feat. Drake & Tems),I NEVER LIKED YOU,"Future, Drake, Tems",2022-04-29,189893,86,https://open.spotify.com/track/59nOXPmaKlBfGMDeOVGrIK
6rb3wFQ66EWR7DcPG0oEE1,We Caa Done (feat. Drake),We Caa Done (feat. Drake),"Popcaan, Drake",2023-01-06,245240,68,https://open.spotify.com/track/6rb3wFQ66EWR7DcPG0oEE1
0g2Bbgy7P41pFjMWJuzsf4,STAYING ALIVE (feat. Drake & Lil Baby),STAYING ALIVE (feat. Drake & Lil Baby),"DJ Khaled, Drake, Lil Baby",2022-08-05,178176,70,https://open.spotify.com/track/0g2Bbgy7P41pFjMWJuzsf4
7l2nxyx7IkBX5orhkALg0V,Privileged Rappers,Her Loss,"Drake, 21 Savage",2022-11-04,160821,76,https://open.spotify.com/track/7l2nxyx7IkBX5orhkALg0V
65OVbaJR5O1RmwOQx0875b,Wants and Needs (feat. Lil Baby),Scary Hours 2,"Drake, Lil Baby",2021-03-05,192956,83,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
3aQem4jVGdhtg116TmJnHz,What’s Next,Scary Hours 2,Drake,2021-03-05,178153,74,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
46s57QULU02Voy0Kup6UEb,Major Distribution,Her Loss,"Drake, 21 Savage",2022-11-04,170501,76,https://open.spotify.com/track/46s57QULU02Voy0Kup6UEb
4s7QLoImIwmPi9L6dq1nVW,TSU,Certified Lover Boy,Drake,2021-09-03,308755,75,https://open.spotify.com/track/4s7QLoImIwmPi9L6dq1nVW
2ZL7WZcjuYKi1KUDtp4kCC,Spin Bout U,Her Loss,"Drake, 21 Savage",2022-11-04,214588,84,https://open.spotify.com/track/2ZL7WZcjuYKi1KUDtp4kCC
4rmVZajAF7PkrCagGPHbqa,Sticky,"Honestly, Nevermind",Drake,2022-06-17,243227,78,https://open.spotify.com/track/4rmVZajAF7PkrCagGPHbqa
4FRW5Nza1Ym91BGV4nFWXI,Lemon Pepper Freestyle (feat. Rick Ross),Scary Hours 2,"Drake, Rick Ross",2021-03-05,383036,69,https://open.spotify.com/track/4FRW5Nza1Ym91BGV4nFWXI
0k1WUmIRnG3xU6fvvDVfRG,Way 2 Sexy (with Future & Young Thug),Certified Lover Boy,"Drake, Future, Young Thug",2021-09-03,257604,78,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
2HSmyk2qMN8WQjuGhaQgCk,Champagne Poetry,Certified Lover Boy,Drake,2021-09-03,336511,78,https://open.spotify.com/track/2HSmyk2qMN8WQjuGhaQgCk
4wVOKKEHUJxHCFFNUWDn0B,Chicago Freestyle (feat. Giveon),Dark Lane Demo Tapes,"Drake, Giveon",2020-05-01,220487,82,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
28JBD8p18xNuOfyV7Cotdn,Massive,"Honestly, Nevermind",Drake,2022-06-17,336924,74,https://open.spotify.com/track/28JBD8p18xNuOfyV7Cotdn
5hTl2uxJGd1sbLtovguuuk,Stars Align (with Drake),Wildest Dreams,"Majid Jordan, Drake",2021-10-22,260519,68,https://open.spotify.com/track/5hTl2uxJGd1sbLtovguuuk
37Nqx7iavZpotJSDXZWbJ3,Girls Want Girls (with Lil Baby),Certified Lover Boy,"Drake, Lil Baby",2021-09-03,221979,78,https://open.spotify.com/track/37Nqx7iavZpotJSDXZWbJ3
0wshkEEcJUQU33RSRBb5dv,BackOutsideBoyz,Her Loss,Drake,2022-11-04,152961,73,https://open.spotify.com/track/0wshkEEcJUQU33RSRBb5dv
3Kwdm0iLyEiRB8InsZoo6n,Talk To Me,The Truth Hurts,"Drakeo the Ruler, Drake",2021-02-24,227705,66,https://open.spotify.com/track/3Kwdm0iLyEiRB8InsZoo6n
61S79KIVA4I9FXbnsylEHT,In The Bible (with Lil Durk & Giveon),Certified Lover Boy,"Drake, Lil Durk, Giveon",2021-09-03,296568,70,https://open.spotify.com/track/61S79KIVA4I9FXbnsylEHT
0sSRLXxknVTQDStgU1NqpY,Hours In Silence,Her Loss,"Drake, 21 Savage",2022-11-04,399153,75,https://open.spotify.com/track/0sSRLXxknVTQDStgU1NqpY
6tiKwZppNjrls8RsPQwK6r,You're Mines Still (feat. Drake),Moon Boy,"Yung Bleu, Drake",2021-07-23,226220,73,https://open.spotify.com/track/6tiKwZppNjrls8RsPQwK6r
2Q3jFbyE61mCjS3SkW4toJ,Race My Mind,Certified Lover Boy,Drake,2021-09-03,269883,70,https://open.spotify.com/track/2Q3jFbyE61mCjS3SkW4toJ
2SAqBLGA283SUiwJ3xOUVI,Laugh Now Cry Later (feat. Lil Durk),Laugh Now Cry Later (feat. Lil Durk),"Drake, Lil Durk",2020-08-14,261492,80,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
7GeTsDIc5ykNB6lORO6Cee,Circo Loco,Her Loss,"Drake, 21 Savage",2022-11-04,236795,78,https://open.spotify.com/track/7GeTsDIc5ykNB6lORO6Cee
2tUL6dZf1mywCj5WvCPZw6,No Friends In The Industry,Certified Lover Boy,Drake,2021-09-03,204346,74,https://open.spotify.com/track/2tUL6dZf1mywCj5WvCPZw6
22ruOqBqBRiZDiXFud4OXa,Over The Top (feat. Drake),Buy or Bye 2,"Smiley, Drake",2021-11-12,153406,70,https://open.spotify.com/track/22ruOqBqBRiZDiXFud4OXa
6EDO9iiTtwNv6waLwa1UUq,POPSTAR (feat. Drake),POPSTAR (feat. Drake),"DJ Khaled, Drake",2020-07-17,200221,74,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
1eCFz60zd7mAXgWLapPd9B,Currents,"Honestly, Nevermind",Drake,2022-06-17,157390,66,https://open.spotify.com/track/1eCFz60zd7mAXgWLapPd9B
35RJhm1pEovTBwnNR0zWad,GREECE (feat. Drake),GREECE (feat. Drake),"DJ Khaled, Drake",2020-07-16,218901,74,https://open.spotify.com/track/35RJhm1pEovTBwnNR0zWad
2KLwPaRDOB87XOYAT2fgxh,Pussy & Millions (feat. Travis Scott),Her Loss,"Drake, 21 Savage, Travis Scott",2022-11-04,242026,80,https://open.spotify.com/track/2KLwPaRDOB87XOYAT2fgxh
6jy9yJfgCsMHdu2Oz4BGKX,Papi’s Home,Certified Lover Boy,Drake,2021-09-03,178623,71,https://open.spotify.com/track/6jy9yJfgCsMHdu2Oz4BGKX
27g5G3TW90FSm3YxclYpAs,TWIST & TURN (feat. Drake & PARTYNEXTDOOR),FIXTAPE,"Popcaan, Drake, PARTYNEXTDOOR",2020-08-07,259651,66,https://open.spotify.com/track/27g5G3TW90FSm3YxclYpAs
127QTOFJsJQp5LbJbu3A1y,Toosie Slide,Toosie Slide,Drake,2020-04-03,247058,74,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y
5yY9lUy8nbvjM1Uyo1Uqoc,Life Is Good (feat. Drake),Life Is Good (feat. Drake),"Future, Drake",2020-01-10,237735,78,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
4VCbgIdr8ptegWeJpqLVHH,Love All (with JAY-Z),Certified Lover Boy,"Drake, JAY-Z",2021-09-03,228461,72,https://open.spotify.com/track/4VCbgIdr8ptegWeJpqLVHH
7wsmIIm0xWmtP7TmACXkJn,Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake),Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake),"Lil Yachty, DaBaby, Drake",2020-03-09,206702,63,https://open.spotify.com/track/7wsmIIm0xWmtP7TmACXkJn
42m3eP1JJhtzffal9B136J,7am On Bridle Path,Certified Lover Boy,Drake,2021-09-03,239635,66,https://open.spotify.com/track/42m3eP1JJhtzffal9B136J
50ceCGZ3oD3U5caQV5bP6f,You Only Live Twice (with Lil Wayne & Rick Ross),Certified Lover Boy,"Drake, Lil Wayne, Rick Ross",2021-09-03,213103,67,https://open.spotify.com/track/50ceCGZ3oD3U5caQV5bP6f
2rFqkDRJlumT7QjljlldlR,LOYAL (feat. Drake),PARTYMOBILE,"PARTYNEXTDOOR, Drake",2020-03-26,197973,69,https://open.spotify.com/track/2rFqkDRJlumT7QjljlldlR
2sqsNXfN0HtgDEgaHXiUTa,Won't Be Late (feat. Drake),Won't Be Late (feat. Drake),"Swae Lee, Drake",2019-08-16,218709,69,https://open.spotify.com/track/2sqsNXfN0HtgDEgaHXiUTa
5ry2OE6R2zPQFDO85XkgRb,Money In The Grave (Drake ft. Rick Ross),The Best In The World Pack,"Drake, Rick Ross",2019-06-15,205426,79,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
2BcMwX1MPV6ZHP4tUT9uq6,Knife Talk (with 21 Savage ft. Project Pat),Certified Lover Boy,"Drake, 21 Savage, Project Pat",2021-09-03,242965,83,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
6XHVuErjQ4XNm6nDPVCxVX,No Guidance (feat. Drake),Indigo,"Chris Brown, Drake",2019-06-28,260640,80,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
5ScbulRnixQ2XAdvrPMFjz,Get Along Better,Certified Lover Boy,"Drake, Ty Dolla $ign",2021-09-03,229303,72,https://open.spotify.com/track/5ScbulRnixQ2XAdvrPMFjz
1rX5L6pyl3rVWb55D8Cprr,Gold Roses (feat. Drake),Port of Miami 2,"Rick Ross, Drake",2019-08-15,349600,62,https://open.spotify.com/track/1rX5L6pyl3rVWb55D8Cprr
6DCZcSspjsKoFjzjrWoCdn,God's Plan,Scorpion,Drake,2018-06-29,198973,87,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
2IRZnDFmlqMuOrYOLnZZyc,Going Bad (feat. Drake),Championships,"Meek Mill, Drake",2018-11-30,180522,81,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
5mCPDVBb16L4XQwDdbRUpz,Passionfruit,More Life,Drake,2017-03-18,298940,87,https://open.spotify.com/track/5mCPDVBb16L4XQwDdbRUpz
1zi7xx7UVEFkmKfv06H8x0,One Dance,Views,"Drake, Wizkid, Kyla",2016-05-06,173986,89,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
3CA9pLiwRIGtUBiMjbZmRw,Nice For What,Scorpion,Drake,2018-06-29,210746,82,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
2G7V7zsVDxg1yRsu7Ew9RJ,In My Feelings,Scorpion,Drake,2018-06-29,217925,78,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
6vN77lE9LK6HP2DewaN6HZ,Yes Indeed,Harder Than Ever,"Lil Baby, Drake",2018-05-18,142273,83,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
3QLjDkgLh9AOEHlhQtDuhs,Best I Ever Had,So Far Gone,Drake,2009,257690,80,https://open.spotify.com/track/3QLjDkgLh9AOEHlhQtDuhs
14SaZBTjxlorHJQxXh01Hu,Girls Need Love (with Drake) - Remix,Last Day Of Summer,"Summer Walker, Drake",2018-10-19,222374,81,https://open.spotify.com/track/14SaZBTjxlorHJQxXh01Hu
4Kz4RdRCceaA9VgTqBhBfa,The Motto,Take Care (Deluxe),"Drake, Lil Wayne",2011-11-15,181573,77,https://open.spotify.com/track/4Kz4RdRCceaA9VgTqBhBfa
6HJ34Zyw6bg8yGm28AxLXf,Look Alive (feat. Drake),Simi,"BlocBoy JB, Drake",2018-05-04,181414,75,https://open.spotify.com/track/6HJ34Zyw6bg8yGm28AxLXf
4X5f3vT8MRuXF68pfjNte5,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",LONG.LIVE.A$AP (Deluxe Version),"A$AP Rocky, Drake, 2 Chainz, Kendrick Lamar",2013,233786,78,https://open.spotify.com/track/4X5f3vT8MRuXF68pfjNte5
7rC5Pl8rQSX4myONQHYPBK,Mob Ties,Scorpion,Drake,2018-06-29,205146,72,https://open.spotify.com/track/7rC5Pl8rQSX4myONQHYPBK
27GmP9AWRs744SzKcpJsTZ,Jumpman,What A Time To Be Alive,"Drake, Future",2015-09-20,205879,73,https://open.spotify.com/track/27GmP9AWRs744SzKcpJsTZ
2aSC2xhRxOLiiZZVjhbylH,"Hold On, We're Going Home",Nothing Was The Same,"Drake, Majid Jordan",2013-01-01,227880,75,https://open.spotify.com/track/2aSC2xhRxOLiiZZVjhbylH
6n3HGiq4v35D6eFOSwqYuo,Teenage Fever,More Life,Drake,2017-03-18,219692,83,https://open.spotify.com/track/6n3HGiq4v35D6eFOSwqYuo
0TlLq3lA83rQOYtrqBqSct,Nonstop,Scorpion,Drake,2018-06-29,238614,81,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
3RkNXZvOSMMElmmXztDc94,F*****g Fans,Certified Lover Boy,Drake,2021-09-03,245131,67,https://open.spotify.com/track/3RkNXZvOSMMElmmXztDc94
5DI9jxTHrEiFAhStG7VA8E,Started From the Bottom,Nothing Was The Same,Drake,2013-01-01,174133,70,https://open.spotify.com/track/5DI9jxTHrEiFAhStG7VA8E
1PDP7mLiAMwhfmgIwzhOm2,Yebba’s Heartbreak,Certified Lover Boy,"Drake, Yebba",2021-09-03,133762,81,https://open.spotify.com/track/1PDP7mLiAMwhfmgIwzhOm2
3gE4eQH3K83Sght0ZLvuBK,MIA,X 100PRE,"Bad Bunny, Drake",2018-12-23,210367,80,https://open.spotify.com/track/3gE4eQH3K83Sght0ZLvuBK
0GaBIpyHvytM1UBYmqXu08,From Time,Nothing Was The Same,"Drake, Jhené Aiko",2013-01-01,322160,72,https://open.spotify.com/track/0GaBIpyHvytM1UBYmqXu08
6LxSe8YmdPxy095Ux6znaQ,Headlines,Take Care (Deluxe),Drake,2011-11-15,235986,81,https://open.spotify.com/track/6LxSe8YmdPxy095Ux6znaQ
0wwPcA6wtMf6HUMpIRdeP7,Hotline Bling,Views,Drake,2016-05-06,267066,80,https://open.spotify.com/track/0wwPcA6wtMf6HUMpIRdeP7
343YBumqHu19cGoGARUTsd,Fake Love,More Life,Drake,2017-03-18,210937,75,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
5J6CXHvsfRGyyCnQZmVPoE,Poetic Justice,"good kid, m.A.A.d city (Deluxe)","Kendrick Lamar, Drake",2012,300160,64,https://open.spotify.com/track/5J6CXHvsfRGyyCnQZmVPoE
11pEKMLmavDu8fxOB5QjbQ,Pipe Down,Certified Lover Boy,Drake,2021-09-03,205721,74,https://open.spotify.com/track/11pEKMLmavDu8fxOB5QjbQ
2bjwRfXMk4uRgOD9IBYl9h,Portland,More Life,"Drake, Quavo, Travis Scott",2017-03-18,236614,73,https://open.spotify.com/track/2bjwRfXMk4uRgOD9IBYl9h
6n4U3TlzUGhdSFbUUhTvLP,Walk It Talk It,Culture II,"Migos, Drake",2018-01-26,276147,77,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
3kCwyvhvVTyehIzYN2I0nF,Omertà,The Best In The World Pack,Drake,2019-06-15,219506,59,https://open.spotify.com/track/3kCwyvhvVTyehIzYN2I0nF
5ngydCLbzCEdtu8SEOXhPU,All Me,Nothing Was The Same (Deluxe),"Drake, 2 Chainz, Big Sean",2013-01-01,271573,61,https://open.spotify.com/track/5ngydCLbzCEdtu8SEOXhPU
6HfOzLLjsaXsehIFEsrxTk,Trophies,Rise Of An Empire (Deluxe Edition),"Young Money, Drake",2014-01-01,188320,77,https://open.spotify.com/track/6HfOzLLjsaXsehIFEsrxTk
2hcohLIysMxofYziluXCoX,Ignant Shit (feat. Lil Wayne),So Far Gone,"Drake, Lil Wayne",2009,302492,57,https://open.spotify.com/track/2hcohLIysMxofYziluXCoX
6NwhtCYkfwWlcR62Ac4E7y,Successful (feat. Trey Songz & Lil Wayne),So Far Gone,"Drake, Trey Songz, Lil Wayne",2009,375050,61,https://open.spotify.com/track/6NwhtCYkfwWlcR62Ac4E7y
5UsLjwBaTHBX4ektWIr4XX,Forever,Relapse: Refill,"Drake, Kanye West, Lil Wayne, Eminem",2009-05-15,357706,76,https://open.spotify.com/track/5UsLjwBaTHBX4ektWIr4XX
7F9cT6hIRhnFCYP6GKS0tf,IMY2 (with Kid Cudi),Certified Lover Boy,"Drake, Kid Cudi",2021-09-03,252378,69,https://open.spotify.com/track/7F9cT6hIRhnFCYP6GKS0tf
3qN5qMTKyEEmiTZD38BNTT,I'm Upset,Scorpion,Drake,2018-06-29,214466,70,https://open.spotify.com/track/3qN5qMTKyEEmiTZD38BNTT
0JaVdpmiex2EP7bBzyKVTa,November 18th,So Far Gone,Drake,2009,188189,63,https://open.spotify.com/track/0JaVdpmiex2EP7bBzyKVTa
124NFj84ppZ5pAxTuVQYCQ,Take Care,Take Care (Deluxe),"Drake, Rihanna",2011-11-15,277386,78,https://open.spotify.com/track/124NFj84ppZ5pAxTuVQYCQ
3cjF2OFRmip8spwZYQRKxP,Feel No Ways,Views,Drake,2016-05-06,240653,79,https://open.spotify.com/track/3cjF2OFRmip8spwZYQRKxP
0m1KYWlT6LhFRBDVq9UNx4,HYFR (Hell Ya Fucking Right),Take Care (Deluxe),"Drake, Lil Wayne",2011-11-15,206626,73,https://open.spotify.com/track/0m1KYWlT6LhFRBDVq9UNx4
79XrkTOfV1AqySNjVlygpW,Energy,If You're Reading This It's Too Late,Drake,2015-02-12,181933,75,https://open.spotify.com/track/79XrkTOfV1AqySNjVlygpW
4jtyUzZm9WLc2AdaJ1dso7,0 To 100 / The Catch Up,0 To 100 / The Catch Up,Drake,2013-07-14,275226,73,https://open.spotify.com/track/4jtyUzZm9WLc2AdaJ1dso7
6UjfByV1lDLW0SOVQA4NAi,Gyalchester,More Life,Drake,2017-03-18,189229,70,https://open.spotify.com/track/6UjfByV1lDLW0SOVQA4NAi
3O8NlPh2LByMU9lSRSHedm,Controlla,Views,Drake,2016-05-06,245226,75,https://open.spotify.com/track/3O8NlPh2LByMU9lSRSHedm
08XWh5c0BMyD1nKVxxl91z,Fountains (with Tems),Certified Lover Boy,"Drake, Tems",2021-09-03,192417,74,https://open.spotify.com/track/08XWh5c0BMyD1nKVxxl91z
