TrackID,TrackName,AlbumName,ArtistName,ReleaseDate,Duration(ms),PopularityIndex,URL
1vYXt7VSjH9JIM5oRRo7vA,Dance The Night - From Barbie The Album,Dance The Night (From Barbie The Album),Dua Lipa,2023-05-25,176579,97,https://open.spotify.com/track/1vYXt7VSjH9JIM5oRRo7vA
2ekn2ttSfGqwhhate0LSR0,New Rules,Dua Lipa (Deluxe),Dua Lipa,2017-06-02,209320,83,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
2FlcxnvybdwpaMmMhaRtSN,Don't Start Now,Future Nostalgia (The Moonlight Edition),Dua Lipa,2021-02-11,183290,70,https://open.spotify.com/track/2FlcxnvybdwpaMmMhaRtSN
0v2boHmWtxMTD2REGN8MbK,Levitating (feat. DaBaby),Future Nostalgia (The Moonlight Edition),"Dua Lipa, DaBaby",2021-02-11,203064,70,https://open.spotify.com/track/0v2boHmWtxMTD2REGN8MbK
6zSpb8dQRaw0M1dK8PBwQz,Cold Heart - PNAU Remix,Cold Heart (PNAU Remix),"Elton John, Dua Lipa, PNAU",2021-08-13,202735,86,https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz
5eTNdkstwKaNahHf41fJ9u,Hotter Than Hell,Dua Lipa (Deluxe),Dua Lipa,2017-06-02,187957,69,https://open.spotify.com/track/5eTNdkstwKaNahHf41fJ9u
5UncbfPKpWlxsWWyhmM87l,Physical,Future Nostalgia (The Moonlight Edition),Dua Lipa,2021-02-11,193829,69,https://open.spotify.com/track/5UncbfPKpWlxsWWyhmM87l
5CSKbHjpqborGnlzagyaDo,Love Again,Future Nostalgia (The Moonlight Edition),Dua Lipa,2021-02-11,258004,70,https://open.spotify.com/track/5CSKbHjpqborGnlzagyaDo
76cy1WJvNGJTj78UqeA5zr,IDGAF,Dua Lipa (Deluxe),Dua Lipa,2017-06-02,217946,81,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
7ef4DlsgrMEH11cDZd32M6,One Kiss (with Dua Lipa),One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",2018-04-06,214846,88,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
4PULMUg3AwudcRCzvVmgXT,Break My Heart,Future Nostalgia (The Moonlight Edition),Dua Lipa,2021-02-11,221820,67,https://open.spotify.com/track/4PULMUg3AwudcRCzvVmgXT
6pbKWWP8WwTaP5TbSq1vCA,Hallucinate,Future Nostalgia (The Moonlight Edition),Dua Lipa,2021-02-11,208505,66,https://open.spotify.com/track/6pbKWWP8WwTaP5TbSq1vCA
