TrackID,TrackName,AlbumName,ArtistName,ReleaseDate,Duration(ms),PopularityIndex,URL
3p7XQpdt8Dr6oMXSvRZ9bg,Eyes Closed,- (Deluxe),Ed Sheeran,2023-05-05,194848,86,https://open.spotify.com/track/3p7XQpdt8Dr6oMXSvRZ9bg
2L6ypr3l5t5mLkY3lXIpZE,Thinking out Loud,x (Deluxe Edition),Ed Sheeran,2014-06-21,281560,55,https://open.spotify.com/track/2L6ypr3l5t5mLkY3lXIpZE
7qiZfU4dY1lWllzX7mPBI3,Shape of You,÷ (Deluxe),Ed Sheeran,2017-03-03,233712,89,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
1VdZ0vKfR5jneCmWIUAMxK,The A Team,+,Ed Sheeran,2011-09-09,258373,76,https://open.spotify.com/track/1VdZ0vKfR5jneCmWIUAMxK
6ZZf5a8oiInHDkBe9zXfLP,Curtains,- (Deluxe),Ed Sheeran,2023-05-05,224803,75,https://open.spotify.com/track/6ZZf5a8oiInHDkBe9zXfLP
50nfwKoDiSYg8zOCREWAm5,Shivers,=,Ed Sheeran,2021-10-29,207853,87,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
6PCUP3dWmTjcTtXY02oFdT,Castle on the Hill,÷ (Deluxe),Ed Sheeran,2017-03-03,261153,81,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
0ch8PUB8JRTMJqmdmfY46U,Photograph,x (Deluxe Edition),Ed Sheeran,2014-06-21,258986,53,https://open.spotify.com/track/0ch8PUB8JRTMJqmdmfY46U
5ubHAQtKuFfiG4FXfLP804,Lego House,+,Ed Sheeran,2011-09-09,185093,75,https://open.spotify.com/track/5ubHAQtKuFfiG4FXfLP804
6jemILri7l5LuPhKs2nuXr,Boat,- (Deluxe),Ed Sheeran,2023-05-05,185675,72,https://open.spotify.com/track/6jemILri7l5LuPhKs2nuXr
0tgVpDi06FyKpA1z0VMD4v,Perfect,÷ (Deluxe),Ed Sheeran,2017-03-03,263400,90,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
3rmo8F54jFF8OgYsqTxm5d,Bad Habits,=,Ed Sheeran,2021-10-29,230746,86,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
4zrKN5Sv8JS5mqnbVcsul7,Celestial,Celestial,Ed Sheeran,2022-09-29,209026,78,https://open.spotify.com/track/4zrKN5Sv8JS5mqnbVcsul7
0vber253Le8WWt7gKorVe9,End Of Youth,- (Deluxe),Ed Sheeran,2023-05-05,231040,70,https://open.spotify.com/track/0vber253Le8WWt7gKorVe9
5sA4n1wolLZk2YpBLbsCqj,Sing,x (Deluxe Edition),Ed Sheeran,2014-06-21,235382,44,https://open.spotify.com/track/5sA4n1wolLZk2YpBLbsCqj
0afhq8XCExXpqazXczTSve,Galway Girl,÷ (Deluxe),Ed Sheeran,2017-03-03,170826,81,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
3HVWdVOQ0ZA45FuZGSfvns,I Don't Care (with Justin Bieber),I Don't Care (with Justin Bieber),"Ed Sheeran & Justin Bieber, Justin Bieber",2019-05-10,219946,79,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns
1DSwFkEe28GSFmdIK92OFX,Vega,- (Deluxe),Ed Sheeran,2023-05-05,178114,66,https://open.spotify.com/track/1DSwFkEe28GSFmdIK92OFX
4btFHqumCO31GksfuBLLv3,Overpass Graffiti,=,Ed Sheeran,2021-10-29,236906,75,https://open.spotify.com/track/4btFHqumCO31GksfuBLLv3
0SuG9kyzGRpDqrCWtgD6Lq,Give Me Love,+,Ed Sheeran,2011-09-09,526386,72,https://open.spotify.com/track/0SuG9kyzGRpDqrCWtgD6Lq
5rYipCuUMXmKr5XM3eDC1r,Tenerife Sea,x (Wembley Edition),Ed Sheeran,2013,241346,60,https://open.spotify.com/track/5rYipCuUMXmKr5XM3eDC1r
1eYafSv4c2aFNf98hSFHX0,The Hills of Aberfeldy,- (Deluxe),Ed Sheeran,2023-05-05,195083,67,https://open.spotify.com/track/1eYafSv4c2aFNf98hSFHX0
4evmHXcjt3bTUHD1cvny97,Beautiful People (feat. Khalid),Beautiful People (feat. Khalid),"Ed Sheeran, Khalid",2019-06-28,197866,74,https://open.spotify.com/track/4evmHXcjt3bTUHD1cvny97
5DFi6D7SrYHRIgZbY5MqqE,F64,F64,Ed Sheeran,2023-01-19,204893,65,https://open.spotify.com/track/5DFi6D7SrYHRIgZbY5MqqE
4RnCPWlBsY7oUDdyruod7Y,Drunk,+,Ed Sheeran,2011-09-09,200093,65,https://open.spotify.com/track/4RnCPWlBsY7oUDdyruod7Y
2UN0lp72LAusrXi8LLVomt,2step (feat. Lil Baby),2step (feat. Lil Baby),"Ed Sheeran, Lil Baby",2022-04-22,163449,68,https://open.spotify.com/track/2UN0lp72LAusrXi8LLVomt
5LTzAKRZ2Xct8d6vVrErha,Don't,x (Deluxe Edition),Ed Sheeran,2014-06-21,219840,45,https://open.spotify.com/track/5LTzAKRZ2Xct8d6vVrErha
4vUmTMuQqjdnvlZmAH61Qk,South of the Border (feat. Camila Cabello & Cardi B),No.6 Collaborations Project,"Ed Sheeran, Camila Cabello, Cardi B",2019-07-12,204466,76,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
