TrackID,TrackName,AlbumName,ArtistName,ReleaseDate,Duration(ms),PopularityIndex,URL
5dPz35akJjPqb17yeqNwqH,Ghost,Justice,Justin Bieber,2021-03-19,153190,76,https://open.spotify.com/track/5dPz35akJjPqb17yeqNwqH
5HCyWlXZPP0y6Gqq8TgA20,STAY (with Justin Bieber),STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",2021-07-09,141805,86,https://open.spotify.com/track/5HCyWlXZPP0y6Gqq8TgA20
09CtPGIpYB4BrO8qb1RGsF,Sorry,Purpose (Deluxe),Justin Bieber,2015-11-13,200786,83,https://open.spotify.com/track/09CtPGIpYB4BrO8qb1RGsF
4umIPjkehX1r7uhmGvXiSV,Intentions (feat. Quavo),Changes,"Justin Bieber, Quavo",2020-02-14,212866,77,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
4EDTT4kSqfpc0FKuxfNo2E,Private Landing (feat. Justin Bieber & Future),Private Landing (feat. Justin Bieber & Future),"Don Toliver, Justin Bieber, Future",2023-02-23,238253,64,https://open.spotify.com/track/4EDTT4kSqfpc0FKuxfNo2E
4B0JvthVoAAuygILe3n4Bs,What Do You Mean?,Purpose (Deluxe),Justin Bieber,2015-11-13,205680,80,https://open.spotify.com/track/4B0JvthVoAAuygILe3n4Bs
4u4NyuceXP7Uzh7XFJKCr1,Hold On,Hold On,Justin Bieber,2021-03-05,170813,71,https://open.spotify.com/track/4u4NyuceXP7Uzh7XFJKCr1
0lYBSQXN6rCTvUZvg9S0lU,Let Me Love You,Encore,"DJ Snake, Justin Bieber",2016-08-05,205946,86,https://open.spotify.com/track/0lYBSQXN6rCTvUZvg9S0lU
4iJyoBOLtHqaGxP12qzhQI,Peaches (feat. Daniel Caesar & Giveon),Justice,"Justin Bieber, Daniel Caesar, Giveon",2021-03-19,198081,84,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3e10Ct9oFcIdgFjkDUBV2k,Beautiful Love - Free Fire,Beautiful Love (Free Fire),Justin Bieber,2022-08-30,207837,67,https://open.spotify.com/track/3e10Ct9oFcIdgFjkDUBV2k
6xsGllAEwkmF4SSDwdpmMt,Cold Water,Cold Water,"Major Lazer, Justin Bieber, MØ",2016-07-22,185351,59,https://open.spotify.com/track/6xsGllAEwkmF4SSDwdpmMt
2KdKh9vHbKW0tZLqtpxxI0,Honest (feat. Don Toliver),Honest,"Justin Bieber, Don Toliver",2022-04-29,193322,68,https://open.spotify.com/track/2KdKh9vHbKW0tZLqtpxxI0
6epn3r7S14KUqlReYr77hA,Baby,My World 2.0,"Justin Bieber, Ludacris",2010-01-01,214240,83,https://open.spotify.com/track/6epn3r7S14KUqlReYr77hA
50kpGaPAhYJ3sGmk6vplg0,Love Yourself,Purpose (Deluxe),Justin Bieber,2015-11-13,233720,86,https://open.spotify.com/track/50kpGaPAhYJ3sGmk6vplg0
5u1n1kITHCxxp8twBcZxWy,Holy (feat. Chance The Rapper),Holy,"Justin Bieber, Chance the Rapper",2020-09-18,212093,73,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
16wAOAZ2OkqoIDN7TpChjR,Yummy,Changes,Justin Bieber,2020-02-14,208520,71,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
24OeEKPQ8qqNZnPevRHxUT,Red Eye (feat. TroyBoi),Justice (The Complete Edition),"Justin Bieber, TroyBoi",2021-10-08,187452,65,https://open.spotify.com/track/24OeEKPQ8qqNZnPevRHxUT
3UGIZ8qcrMTwzLbx6Kttqt,Boyfriend,Believe,Justin Bieber,2012-01-01,171333,77,https://open.spotify.com/track/3UGIZ8qcrMTwzLbx6Kttqt
4y4spB9m0Q6026KfkAvy9Q,Lonely (with benny blanco),Lonely (with benny blanco),"Justin Bieber, benny blanco",2020-10-16,149297,72,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
3DXncPQOG4VBw3QHh3S817,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",Grateful,"DJ Khaled, Justin Bieber, Quavo, Chance the Rapper, Lil Wayne",2017-06-22,288600,73,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
66hayvUbTotekKU3H4ta1f,Where Are Ü Now (with Justin Bieber),Skrillex and Diplo present Jack Ü,"Jack Ü, Skrillex, Diplo, Justin Bieber",2015-02-24,250285,76,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
3T03rPwlL8NVk1yIaxeD8U,Off My Face,Justice,Justin Bieber,2021-03-19,156467,78,https://open.spotify.com/track/3T03rPwlL8NVk1yIaxeD8U
6rPO02ozF3bM7NnOV4h6s2,Despacito - Remix,Despacito Feat. Justin Bieber (Remix),"Luis Fonsi, Daddy Yankee, Justin Bieber",2017-04-17,228826,73,https://open.spotify.com/track/6rPO02ozF3bM7NnOV4h6s2
0pwYLVXVknPSGUQb39cePC,As Long As You Love Me,Believe (Deluxe Edition),"Justin Bieber, Big Sean",2012-06-15,229466,69,https://open.spotify.com/track/0pwYLVXVknPSGUQb39cePC
190jyVPHYjAqEaOGmMzdyk,Beauty And A Beat,Believe (Deluxe Edition),"Justin Bieber, Nicki Minaj",2012-06-15,227986,82,https://open.spotify.com/track/190jyVPHYjAqEaOGmMzdyk
31qCy5ZaophVA81wtlwLc4,Anyone,Anyone,Justin Bieber,2021-01-01,190779,73,https://open.spotify.com/track/31qCy5ZaophVA81wtlwLc4
61uyGDPJ06MkxJtHgPmuyO,Company,Purpose (Deluxe),Justin Bieber,2015-11-13,208120,79,https://open.spotify.com/track/61uyGDPJ06MkxJtHgPmuyO
4MmMxyew8yq1OEyJOMaX6M,As I Am (feat. Khalid),Justice,"Justin Bieber, Khalid",2021-03-19,174406,62,https://open.spotify.com/track/4MmMxyew8yq1OEyJOMaX6M
265zv3IDBskSIkvgPOSiGQ,2U (feat. Justin Bieber),2U,"David Guetta, Justin Bieber",2017-06-09,194893,62,https://open.spotify.com/track/265zv3IDBskSIkvgPOSiGQ
5GYbkDveRD2I8M5ZJ14hWn,Never Say Never,Never Say Never - The Remixes,"Justin Bieber, Jaden",2011-01-01,227853,74,https://open.spotify.com/track/5GYbkDveRD2I8M5ZJ14hWn
59ltMnCjkPJqUM4pBlc1o2,There She Go (feat. Lil Uzi Vert),Justice (Triple Chucks Deluxe),"Justin Bieber, Lil Uzi Vert",2021-03-26,215019,57,https://open.spotify.com/track/59ltMnCjkPJqUM4pBlc1o2
6tTeRmhhuwDl5Y4UiJdHuO,attention,attention,"Omah Lay, Justin Bieber",2022-03-03,180563,64,https://open.spotify.com/track/6tTeRmhhuwDl5Y4UiJdHuO
23EquxExXkNmGCCY96P0Iu,Hailey,Justice (The Complete Edition),Justin Bieber,2021-10-08,193354,67,https://open.spotify.com/track/23EquxExXkNmGCCY96P0Iu
4WghJOMjDpGdlk3b8aJIgy,up at night (feat. justin bieber),up at night (feat. justin bieber),"Kehlani, Justin Bieber",2022-03-30,182226,63,https://open.spotify.com/track/4WghJOMjDpGdlk3b8aJIgy
1mSdbey7RstGLY2udgXv74,Essence (feat. Justin Bieber & Tems),Essence (feat. Justin Bieber & Tems),"Wizkid, Justin Bieber, Tems",2021-08-13,263288,66,https://open.spotify.com/track/1mSdbey7RstGLY2udgXv74
5G99lkpldkHJx6o1Z37ts7,Angels Speak,Justice (The Complete Edition),"Justin Bieber, Poo Bear",2021-10-08,231667,56,https://open.spotify.com/track/5G99lkpldkHJx6o1Z37ts7
7iNIg7XDEaYECfWD5dJ9Va,Friends (with BloodPop®),Friends (with BloodPop®),"Justin Bieber, BloodPop®",2017-08-17,189466,71,https://open.spotify.com/track/7iNIg7XDEaYECfWD5dJ9Va
3JsydWaf2Ev4ehaLUjj3SY,Confident,Journals,"Justin Bieber, Chance the Rapper",2014-05-13,248133,78,https://open.spotify.com/track/3JsydWaf2Ev4ehaLUjj3SY
3HVWdVOQ0ZA45FuZGSfvns,I Don't Care (with Justin Bieber),I Don't Care (with Justin Bieber),"Ed Sheeran & Justin Bieber, Justin Bieber",2019-05-10,219946,79,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns
3rLIv187BhjyweFe89SgLn,Somebody To Love,My World 2.0,Justin Bieber,2010-01-01,220920,72,https://open.spotify.com/track/3rLIv187BhjyweFe89SgLn
6eDApnV9Jdb1nYahOlbbUh,One Time,My World,Justin Bieber,2009-01-01,215866,74,https://open.spotify.com/track/6eDApnV9Jdb1nYahOlbbUh
6CLVh9sekZ1p2G8Tfhhj8h,All That Matters,Journals,Justin Bieber,2014-05-13,191173,69,https://open.spotify.com/track/6CLVh9sekZ1p2G8Tfhhj8h
2o9LAypwGH4ctV0i9boo6d,Come Around Me,Changes,Justin Bieber,2020-02-14,200773,67,https://open.spotify.com/track/2o9LAypwGH4ctV0i9boo6d
45O0tUN9Bh6LH4eNxQ07AT,Eenie Meenie,Eenie Meenie EP,Sean Kingston,2020-02-28,201653,67,https://open.spotify.com/track/45O0tUN9Bh6LH4eNxQ07AT
5NU40QTlXrDUJzDBdv79bg,Deserve You,Justice,Justin Bieber,2021-03-19,187238,65,https://open.spotify.com/track/5NU40QTlXrDUJzDBdv79bg
7gd01LMH2gBcoDngSt8sq9,Next To You (feat. Justin Bieber),F.A.M.E. (Expanded Edition),"Chris Brown, Justin Bieber",2011-03-22,265813,72,https://open.spotify.com/track/7gd01LMH2gBcoDngSt8sq9
0oaY19dUwZimIgzn3ZZLZO,2 Much,Justice,Justin Bieber,2021-03-19,152796,69,https://open.spotify.com/track/0oaY19dUwZimIgzn3ZZLZO
69ghzc538EQSVon2Gm3wrr,One Less Lonely Girl,My World,Justin Bieber,2009-01-01,229106,71,https://open.spotify.com/track/69ghzc538EQSVon2Gm3wrr
2ZlCGeK30BLRNSPC832pNZ,Forever (feat. Post Malone & Clever),Changes,"Justin Bieber, Post Malone, Clever",2020-02-14,219933,70,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ
3kZLeZr4StCy1tlOBRJrUH,Lifetime,Justice (Triple Chucks Deluxe),Justin Bieber,2021-03-26,207020,57,https://open.spotify.com/track/3kZLeZr4StCy1tlOBRJrUH
