TrackID,TrackName,AlbumName,ArtistName,ReleaseDate,Duration(ms),PopularityIndex,URL
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Lover,Taylor Swift,2019-08-23,178426,100,https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdwr
5kHMfzgLZP95O9NBy0ku4v,I Can See You (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),Taylor Swift,2023-07-07,273186,91,https://open.spotify.com/track/5kHMfzgLZP95O9NBy0ku4v
7KokYm8cMIXCsGVmUvKtqf,Karma,Midnights,Taylor Swift,2022-10-21,204852,90,https://open.spotify.com/track/7KokYm8cMIXCsGVmUvKtqf
1u8c2t2Cy7UBoG4ArRcF5g,Blank Space,1989,Taylor Swift,2014-10-27,231826,91,https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g
0V3wPSX9ygBnCm8psDIegu,Anti-Hero,Midnights,Taylor Swift,2022-10-21,200690,93,https://open.spotify.com/track/0V3wPSX9ygBnCm8psDIegu
3CeCwYWvdfXbZLXFhBrbnf,Love Story (Taylor’s Version),Love Story (Taylor’s Version),Taylor Swift,2021-02-12,235766,86,https://open.spotify.com/track/3CeCwYWvdfXbZLXFhBrbnf
3sW3oSbzsfecv9XoUdGs7h,Enchanted (Taylor's Version),Speak Now (Taylor's Version),Taylor Swift,2023-07-07,353253,89,https://open.spotify.com/track/3sW3oSbzsfecv9XoUdGs7h
0ug5NqcwcFR2xrfTkc7k8e,Style,1989,Taylor Swift,2014-10-27,231000,91,https://open.spotify.com/track/0ug5NqcwcFR2xrfTkc7k8e
4P7LVHDbzn7aI6wWRh5AHc,You Belong With Me (Taylor’s Version),Fearless (Taylor’s Version): The I Remember What You Said Last Night Chapter,Taylor Swift,2021-05-24,231124,80,https://open.spotify.com/track/4P7LVHDbzn7aI6wWRh5AHc
1Ov37jtRQ2YNAe8HzfczkL,Wildest Dreams (Taylor's Version),Wildest Dreams (Taylor's Version),Taylor Swift,2021-09-17,220433,87,https://open.spotify.com/track/1Ov37jtRQ2YNAe8HzfczkL
1R0a2iXumgCiFb7HEZ7gUE,Don’t Blame Me,reputation,Taylor Swift,2017-11-10,236413,91,https://open.spotify.com/track/1R0a2iXumgCiFb7HEZ7gUE
6tNSmBKSjFV1366ASuULfZ,I Knew You Were Trouble (Taylor's Version),Red (Taylor's Version),Taylor Swift,2021-11-12,219760,78,https://open.spotify.com/track/6tNSmBKSjFV1366ASuULfZ
5jQI2r1RdgtuT8S3iG8zFC,Lavender Haze,Midnights,Taylor Swift,2022-10-21,202395,86,https://open.spotify.com/track/5jQI2r1RdgtuT8S3iG8zFC
