TrackID,TrackName,AlbumName,ArtistName,ReleaseDate,Duration(ms),PopularityIndex,URL
6WzRpISELf3YglGAh7TXcG,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,Popular (Music from the HBO Original Series),"The Weeknd, Playboi Carti, Madonna",2023-06-02,215466,93,https://open.spotify.com/track/6WzRpISELf3YglGAh7TXcG
7oDd86yk8itslrA9HRP2ki,Die For You - Remix,Die For You (Remix),"The Weeknd, Ariana Grande",2023-02-24,232857,88,https://open.spotify.com/track/7oDd86yk8itslrA9HRP2ki
4VMRsbfZzd3SfQtaJ1Wpwi,Double Fantasy (with Future),Double Fantasy,"The Weeknd, Future",2023-04-21,268235,81,https://open.spotify.com/track/4VMRsbfZzd3SfQtaJ1Wpwi
2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),HEROES & VILLAINS,"Metro Boomin, The Weeknd, 21 Savage",2022-12-02,221520,93,https://open.spotify.com/track/2dHHgzDwk4BJdRwy9uXhTO
5QO79kh1waicV47BqGRL3g,Save Your Tears,After Hours,The Weeknd,2020-03-20,215626,89,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,After Hours,The Weeknd,2020-03-20,200040,92,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
5L3ecxQnQ9qTBmnLQiwf0C,K-POP,K-POP,"Travis Scott, Bad Bunny, The Weeknd",2023-07-21,185220,91,https://open.spotify.com/track/5L3ecxQnQ9qTBmnLQiwf0C
22VdIZQfgXJea34mQxlt81,Can't Feel My Face,Beauty Behind The Madness,The Weeknd,2015-08-28,213520,85,https://open.spotify.com/track/22VdIZQfgXJea34mQxlt81
7fBv7CLKzipRk6EC6TWHOB,The Hills,Beauty Behind The Madness,The Weeknd,2015-08-28,242253,88,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB
09mEdoA6zrmBPgTEN5qXmN,Call Out My Name,"My Dear Melancholy,",The Weeknd,2018-03-30,228373,88,https://open.spotify.com/track/09mEdoA6zrmBPgTEN5qXmN
3dhjNA0jGA8vHBQ1VdD6vV,I Feel It Coming,Starboy,"The Weeknd, Daft Punk",2016-11-25,269186,82,https://open.spotify.com/track/3dhjNA0jGA8vHBQ1VdD6vV
6cViXqp01e3FrAaseuiSAV,"False Idols (with Lil Baby, Suzanna Son)",The Idol Episode 5 Part 1 (Music from the HBO Original Series),"The Weeknd, Lil Baby, Suzanna Son",2023-06-30,262229,74,https://open.spotify.com/track/6cViXqp01e3FrAaseuiSAV
2p8IUWQDrpjuFltbdgLOag,After Hours,After Hours,The Weeknd,2020-03-20,361026,87,https://open.spotify.com/track/2p8IUWQDrpjuFltbdgLOag
7MXVkk9YMctZqd1Srtv4MB,Starboy,Starboy,"The Weeknd, Daft Punk",2016-11-25,230453,92,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB
