TrackID,TrackName,AlbumName,ArtistName,ReleaseDate,Duration(ms),PopularityIndex,URL
63y6xWR4gXz7bnUGOk8iI6,Into You,Dangerous Woman,Ariana Grande,2016-05-20,244453,73,https://open.spotify.com/track/63y6xWR4gXz7bnUGOk8iI6
6RUhbFEhrvGISaQ8u2j2JN,Dangerous Woman,Dangerous Woman,Ariana Grande,2016-05-20,235946,71,https://open.spotify.com/track/6RUhbFEhrvGISaQ8u2j2JN
6ocbgoVGwYJhOv1GgI9NsF,7 rings,"thank u, next",Ariana Grande,2019-02-08,178626,86,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
43bCmCI0nSgcT7QdMXY6LV,Side To Side,Dangerous Woman,"Ariana Grande, Nicki Minaj",2016-05-20,226160,70,https://open.spotify.com/track/43bCmCI0nSgcT7QdMXY6LV
5OCJzvD7sykQEKHH7qAC3C,God is a woman,Sweetener,Ariana Grande,2018-08-17,197546,79,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
35mvY5S1H3J2QZyna3TFe0,positions,Positions,Ariana Grande,2020-10-30,172324,84,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
1bj8x3ERN9gSc2NfJIpc76,pov,Positions,Ariana Grande,2020-10-30,201882,66,https://open.spotify.com/track/1bj8x3ERN9gSc2NfJIpc76
2qT1uLXPVPzGgFOx4jtEuo,no tears left to cry,Sweetener,Ariana Grande,2018-08-17,205920,79,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
7xoUc6faLbCqZO6fQEYprd,One Last Time,My Everything (Deluxe),Ariana Grande,2014-08-25,197266,85,https://open.spotify.com/track/7xoUc6faLbCqZO6fQEYprd
3e9HZxeyfWwjeyPAMmWSSQ,"thank u, next","thank u, next",Ariana Grande,2019-02-08,207320,83,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
6Im9k8u9iIzKMrmV7BWtlF,34+35,Positions,Ariana Grande,2020-10-30,173710,80,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
5J4ZkQpzMUFojo1CtAZYpn,Love Me Harder,My Everything (Deluxe),"Ariana Grande, The Weeknd",2014-08-25,236133,81,https://open.spotify.com/track/5J4ZkQpzMUFojo1CtAZYpn
12KUFSHFgT0XCoiSlvdQi4,Break Free,My Everything (Deluxe),"Ariana Grande, Zedd",2014-08-25,214840,79,https://open.spotify.com/track/12KUFSHFgT0XCoiSlvdQi4
